ville_id,Date,Temperature_max (°C),Temperature_moyenne,Temps_pluie (h),Ville,latitude,longitude
19,2025-05-05,20.1,16.8,3.0,Cassis,43.213074,5.540576
19,2025-05-06,19.0,15.3,0.0,Cassis,43.213074,5.540576
19,2025-05-07,18.0,15.8,3.0,Cassis,43.213074,5.540576
19,2025-05-08,20.0,14.9,0.0,Cassis,43.213074,5.540576
19,2025-05-09,19.5,16.5,0.0,Cassis,43.213074,5.540576
19,2025-05-10,20.7,17.2,0.0,Cassis,43.213074,5.540576
19,2025-05-11,20.6,17.3,0.0,Cassis,43.213074,5.540576
20,2025-05-05,19.1,16.3,1.0,Marseille,43.269776,5.367037
20,2025-05-06,18.0,14.9,0.0,Marseille,43.269776,5.367037
20,2025-05-07,17.4,15.5,3.0,Marseille,43.269776,5.367037
20,2025-05-08,20.0,14.8,0.0,Marseille,43.269776,5.367037
20,2025-05-09,19.5,16.4,0.0,Marseille,43.269776,5.367037
20,2025-05-10,22.9,17.0,0.0,Marseille,43.269776,5.367037
20,2025-05-11,22.3,16.9,0.0,Marseille,43.269776,5.367037
26,2025-05-05,19.1,16.2,4.0,Saintes Maries de la mer,43.479513,4.394262
26,2025-05-06,18.4,15.0,0.0,Saintes Maries de la mer,43.479513,4.394262
26,2025-05-07,18.0,14.8,0.0,Saintes Maries de la mer,43.479513,4.394262
26,2025-05-08,19.0,15.4,0.0,Saintes Maries de la mer,43.479513,4.394262
26,2025-05-09,20.1,16.7,6.0,Saintes Maries de la mer,43.479513,4.394262
26,2025-05-10,22.7,17.3,0.0,Saintes Maries de la mer,43.479513,4.394262
26,2025-05-11,21.8,17.3,0.0,Saintes Maries de la mer,43.479513,4.394262
27,2025-05-05,18.7,15.6,2.0,Collioure,42.515405,3.075825
27,2025-05-06,17.9,14.5,0.0,Collioure,42.515405,3.075825
27,2025-05-07,19.2,15.4,1.0,Collioure,42.515405,3.075825
27,2025-05-08,19.5,15.9,7.0,Collioure,42.515405,3.075825
27,2025-05-09,17.7,15.7,1.0,Collioure,42.515405,3.075825
27,2025-05-10,20.1,16.7,0.0,Collioure,42.515405,3.075825
27,2025-05-11,20.3,17.9,0.0,Collioure,42.515405,3.075825
34,2025-05-05,16.7,12.7,0.0,La Rochelle,46.157032,-1.185842
34,2025-05-06,19.0,13.7,0.0,La Rochelle,46.157032,-1.185842
34,2025-05-07,20.5,15.5,0.0,La Rochelle,46.157032,-1.185842
34,2025-05-08,19.8,15.9,1.0,La Rochelle,46.157032,-1.185842
34,2025-05-09,21.4,16.7,0.0,La Rochelle,46.157032,-1.185842
34,2025-05-10,23.4,17.3,0.0,La Rochelle,46.157032,-1.185842
34,2025-05-11,24.1,18.8,0.0,La Rochelle,46.157032,-1.185842
